,Feature1,Feature2,Feature3,Feature4,Feature6,Feature7,Feature10,Feature11,Feature12,Feature14,Feature16,Feature17,Feature18,Feature19,Feature20,Feature21,Feature22,Feature23,Feature24,Feature25,Feature26,Feature27,Feature28,Feature29,Feature30,Feature32,Feature34,Feature35,Feature36,Feature38,Feature40,Feature42,Feature44,Feature50,Feature51,Feature52,Feature54,Feature59,Feature61,UserID,TARGET
2307,0.018634,-18676,-1510,6.0,1,1,2,2,12,0,0.038703967,0.572682505,0.1485,0.0551,0.3333,0.375,0.0445,0.121,0.1544,0.0,0.0,0.1513,0.0572,0.9881,0.0179,0.1379,0.0455,0.1322,0.1608,0.0,0.0551,0.0179,0.1379,8.0,0.0,-620,1,0.0,0.0,203578,0
2313,0.009656999999999999,-14420,-4287,6.0,1,0,2,2,15,0,0.606727282,0.479448981,0.0082,0.0,0.0417,0.0833,0.0274,0.0067,0.0084,0.0,0.0,0.0084,0.0,0.9727,0.0014,0.069,0.027999999999999997,0.0073,0.0087,0.0,0.0,0.0014,0.069,0.0,0.0,-1077,1,0.0,6.0,419979,0
2338,0.020246,-21107,-4010,6.0,1,0,2,3,10,0,0.41321683299999995,0.845437922,0.0722,0.0845,0.1667,0.2083,0.0544,0.0588,0.0669,0.0,0.0,0.0735,0.0877,0.9782,0.0087,0.1379,0.0557,0.0643,0.0697,0.0,0.0845,0.0087,0.1379,10.0,0.0,-791,0,0.0,2.0,149942,0
2339,0.035792000000000004,-17766,-1307,10.0,1,1,1,2,12,0,0.550788518,0.30773669600000003,0.1371,0.0,0.1667,0.2083,0.0358,0.1067,0.0576,0.0232,0.0182,0.1397,0.0,0.9732,0.0264,0.069,0.0366,0.1166,0.06,0.0193,0.0,0.0263,0.069,0.0,0.0,-1921,1,0.0,5.0,368304,0
2355,0.072508,-13674,-2789,11.0,1,0,1,1,15,0,0.764987865,0.558506628,0.1646,0.0689,0.5275,0.5833,0.0517,0.0824,0.1835,0.0,0.0272,0.25,0.0397,0.9772,0.1232,0.0345,0.0,0.09,0.3373,0.0,0.0718,0.1228,0.069,0.0,0.0,-819,0,1.0,0.0,273815,0
2369,0.010966,-12756,-2940,4.0,1,0,3,2,10,0,0.7055069429999999,0.644679455,0.0082,0.0,0.0417,0.0833,0.0183,0.0067,0.0084,0.0,0.0,0.0084,0.0,0.9712,0.0011,0.0345,0.0187,0.0073,0.0087,0.0,0.0,0.0011,0.0345,0.0,0.0,-330,1,1.0,4.0,453209,0
2379,0.072508,-22581,-4016,5.0,1,0,2,1,15,0,0.751232254,0.574446617,0.2189,0.2204,0.4442,0.0417,0.0,0.1779,0.2648,0.0025,0.0676,0.0578,0.1013,0.9911,0.0,0.1379,0.0,0.0496,0.0969,0.0068,0.2738,0.0011,0.1379,0.0,0.0,-788,0,0.0,4.0,341378,0
2390,0.025164,-12404,-692,8.0,1,0,3,2,14,0,0.5336271220000001,0.345784802,0.1021,0.0831,0.1667,0.2083,0.0493,0.079,0.0839,0.0193,0.0511,0.10400000000000001,0.0862,0.9762,0.026000000000000002,0.2069,0.0504,0.0863,0.0874,0.0541,0.0831,0.0259,0.2069,2.0,1.0,-1,1,0.0,1.0,398203,0
2395,0.010966,-16477,-17,14.0,1,0,3,2,16,0,0.515550185,0.502878277,0.0423,0.0343,0.0833,0.0,0.0537,0.0345,0.0389,0.0077,0.0297,0.0431,0.0356,0.9886,0.0028,0.0345,0.0549,0.0376,0.0406,0.0315,0.0343,0.0027,0.0345,0.0,0.0,-2210,1,2.0,1.0,447929,0
2403,0.016612000000000002,-17917,-1470,65.0,1,0,2,2,9,0,0.54619081,0.495665829,0.1977,0.1173,0.3417,0.4167,0.0876,0.1666,0.1733,0.0203,0.018000000000000002,0.1523,0.0868,0.995,0.0531,0.1379,0.0192,0.1451,0.0865,0.0,0.1019,0.0654,0.1379,0.0,0.0,-1070,1,0.0,2.0,393047,0
2404,0.008575,-14723,-4962,3.0,1,0,1,2,11,0,0.455911368,0.7922644740000001,0.0763,0.057,0.25,0.2917,0.053,0.0622,0.0647,0.0,0.0,0.042,0.0451,0.9821,0.0312,0.069,0.0429,0.0367,0.0382,0.0,0.057,0.0463,0.069,2.0,1.0,-2,1,0.0,2.0,249450,0
2416,0.010006000000000001,-15723,-3826,6.0,1,0,2,2,10,0,0.53933674,0.479448981,0.0371,0.1015,0.0833,0.125,0.0194,0.0303,0.0427,0.0039,0.012,0.0378,0.1053,0.9940000000000001,0.0108,0.1034,0.0199,0.0331,0.0445,0.0127,0.1015,0.0108,0.1034,3.0,1.0,-1955,1,0.0,2.0,307660,0
2422,0.018801,-20817,-4181,14.0,1,0,2,2,13,0,0.652348508,0.783832434,0.0619,0.0541,0.1667,0.0417,0.0177,0.0504,0.0516,0.0,0.0,0.063,0.0561,0.9886,0.0266,0.1379,0.0181,0.0551,0.0537,0.0,0.0541,0.0265,0.1379,3.0,0.0,0,1,0.0,2.0,172062,0
2428,0.031329,-9089,-1758,6.0,1,0,2,2,10,0,0.653909059,0.20915469899999997,0.0825,0.0553,0.375,0.4167,0.0454,0.0672,0.085,0.0,0.0,0.084,0.0574,0.9896,0.0115,0.069,0.0464,0.0735,0.0886,0.0,0.0553,0.0115,0.069,1.0,0.0,-1133,0,0.0,0.0,181500,0
2441,0.020713,-16112,-4214,10.0,1,1,2,3,12,0,0.547480514,0.819317692,0.0505,0.0709,0.1667,0.2083,0.031,0.0412,0.0646,0.0,0.0,0.0515,0.0736,0.9816,0.0077,0.1379,0.0318,0.045,0.0673,0.0,0.0709,0.0077,0.1379,0.0,0.0,-56,0,2.0,0.0,155454,0
2449,0.072508,-11358,-2442,9.0,1,0,2,1,17,0,0.676992501,0.37402080299999996,0.0619,0.0547,0.1388,0.1804,0.0,0.0496,0.0552,0.0039,0.0253,0.042,0.0073,0.9722,0.0002,0.1379,0.0,0.0358,0.0529,0.0005,0.0731,0.0071,0.1379,0.0,0.0,-1699,0,0.0,4.0,349387,0
2462,0.018801,-13958,-898,13.0,1,0,3,2,12,0,0.587677303,0.528092751,0.0691,0.0613,0.1667,0.0417,0.0232,0.0538,0.0504,0.0116,0.0884,0.0704,0.0636,0.9772,0.0086,0.1379,0.0237,0.0588,0.0525,0.0936,0.0613,0.0085,0.1379,0.0,0.0,-2530,0,1.0,2.0,447887,0
2471,0.028663,-12697,-4780,2.0,1,0,2,2,13,0,0.619383658,0.391054977,0.0082,0.0045,0.0,0.0417,0.0378,0.0067,0.0026,0.0,0.0,0.0084,0.0047,0.9503,0.0014,0.0345,0.0387,0.0073,0.0027,0.0,0.0045,0.0014,0.0345,4.0,1.0,-2689,1,0.0,1.0,421116,0
2484,0.014464,-13498,-2417,5.0,1,0,3,2,5,0,0.529902876,0.569148771,0.033,0.0407,0.125,0.1667,0.0255,0.0269,0.0255,0.0,0.0,0.0336,0.0422,0.9752,0.0028,0.069,0.0261,0.0294,0.0266,0.0,0.0407,0.0028,0.069,0.0,0.0,-293,1,1.0,0.0,155983,0
2496,0.0035409999999999994,-18622,-2153,1.0,1,0,4,1,13,0,0.401592204,0.30773669600000003,0.0165,0.0,0.0417,0.0833,0.0101,0.0132,0.0096,0.001,0.0296,0.0168,0.0,0.9871,0.0051,0.069,0.0099,0.0147,0.01,0.0308,0.0,0.0051,0.069,0.0,0.0,-1638,0,0.0,1.0,396891,0
2501,0.04622,-17133,-657,22.0,1,0,2,1,16,0,0.7394881459999999,0.6212263379999999,0.2206,0.1348,0.3333,0.375,0.0,0.1799,0.2198,0.0,0.0,0.2248,0.1399,0.9791,0.0568,0.2069,0.0,0.1965,0.22899999999999998,0.0,0.1348,0.0566,0.2069,5.0,0.0,0,1,0.0,0.0,391686,0
2503,0.031329,-12212,-4503,4.0,1,1,3,2,14,0,0.688036992,0.279335321,0.067,0.0372,0.1667,0.2083,0.0502,0.0538,0.0495,0.0039,0.0881,0.0683,0.0386,0.9762,0.0068,0.1379,0.0514,0.0588,0.0516,0.0933,0.0372,0.0068,0.1379,0.0,0.0,-596,0,0.0,3.0,165857,0
2512,0.009656999999999999,-19347,-2889,11.0,1,0,4,2,12,0,0.566154799,0.707699345,0.2969,0.231,0.3333,0.375,0.2283,0.2421,0.3253,0.0,0.1623,0.3025,0.2397,0.9856,0.0323,0.2759,0.2335,0.2645,0.3389,0.1718,0.231,0.0322,0.2759,0.0,0.0,-2,0,0.0,0.0,448463,0
2517,0.030755,-10060,-2746,9.0,1,0,1,2,12,0,0.50346784,0.77008707,0.0247,0.0292,0.1042,0.0833,0.0116,0.0067,0.0254,0.0,0.0,0.0084,0.0,0.9722,0.0009,0.0345,0.0043,0.0073,0.0059,0.0,0.0292,0.0008,0.069,0.0,0.0,-2128,1,0.0,0.0,220525,0
2534,0.020246,-17835,-1363,6.0,1,0,2,3,11,0,0.073353486,0.639707568,0.0722,0.1296,0.1667,0.0417,0.0766,0.0588,0.0992,0.0,0.0,0.0735,0.1345,0.9702,0.0327,0.1379,0.0783,0.0643,0.1034,0.0,0.1296,0.0326,0.1379,0.0,0.0,0,1,0.0,0.0,312786,0
2561,0.020246,-15573,-2646,17.0,1,0,3,3,11,0,0.7463953520000001,0.19977057,0.0608,0.0575,0.1667,0.2083,0.0528,0.0488,0.054000000000000006,0.0039,0.0048,0.062,0.0597,0.9816,0.0154,0.1379,0.054000000000000006,0.0533,0.0563,0.0051,0.0575,0.0154,0.1379,2.0,1.0,-1851,1,0.0,4.0,215014,1
2581,0.020713,-19040,-2564,11.0,1,0,1,3,8,0,0.51238187,0.151007535,0.032,0.0212,0.3333,0.3333,0.0203,0.0219,0.0396,0.0193,0.0441,0.0326,0.022000000000000002,0.9940000000000001,0.0113,0.069,0.0208,0.0239,0.0412,0.0466,0.0212,0.0112,0.069,0.0,0.0,-816,0,0.0,2.0,344747,0
2583,0.007305,-12251,-1310,8.0,1,0,2,3,12,0,0.581756786,0.234015167,0.1577,0.1118,0.3333,0.375,0.1984,0.1278,0.1883,0.0039,0.0013,0.1607,0.11599999999999999,0.9876,0.0665,0.1724,0.203,0.1396,0.1962,0.0014,0.1118,0.0664,0.1724,9.0,1.0,-1535,0,0.0,3.0,375497,0
2593,0.008865999999999999,-17430,-946,8.0,1,0,2,2,9,0,0.422653529,0.6658549220000001,0.1526,0.129,0.375,0.0,0.0843,0.1244,0.1611,0.0077,0.157,0.1555,0.1339,0.9906,0.0395,0.1379,0.0862,0.1359,0.1679,0.1662,0.129,0.0394,0.1379,0.0,0.0,-1616,1,1.0,3.0,194206,0
2599,0.015221,-14218,-1774,0.0,1,0,3,2,11,0,0.245349553,0.43296166700000005,0.2227,0.1275,0.3333,0.0417,0.1215,0.1816,0.2355,0.0,0.0,0.2269,0.1324,0.9816,0.0392,0.2069,0.1243,0.1983,0.2454,0.0,0.1275,0.0391,0.2069,0.0,0.0,-1644,1,0.0,0.0,295540,0
2630,0.04622,-13084,-5255,2.0,1,0,2,1,12,0,0.41594479799999995,0.2881296,0.0278,0.0562,0.0833,0.0417,0.0155,0.0227,0.0235,0.0,0.0,0.0284,0.0583,0.9871,0.0038,0.1034,0.0159,0.0248,0.0245,0.0,0.0562,0.0038,0.1034,2.0,1.0,0,1,0.0,5.0,187670,0
2647,0.016612000000000002,-10544,-1107,17.0,1,1,3,2,13,0,0.10002158800000001,0.14554281300000002,0.1258,0.126,0.1667,0.2083,0.0383,0.1009,0.1004,0.0077,0.0053,0.1282,0.1307,0.9742,0.0937,0.2069,0.0391,0.1102,0.1046,0.0057,0.126,0.0934,0.2069,0.0,0.0,0,0,0.0,0.0,314338,0
2665,0.010643000000000001,-18032,-1533,8.0,1,0,2,2,13,0,0.7398334390000001,0.786266615,0.1649,0.1174,0.375,0.4167,0.0653,0.1345,0.1651,0.0,0.0,0.1681,0.1218,0.9896,0.0554,0.069,0.0668,0.1469,0.172,0.0,0.1174,0.0552,0.069,0.0,0.0,-1794,1,0.0,0.0,218412,0
2674,0.018209,-14177,-4666,3.0,1,0,2,3,7,0,0.570296636,0.692559067,0.1031,0.1065,0.1667,0.2083,0.0761,0.0841,0.0938,0.0,0.0,0.105,0.1106,0.9796,0.0869,0.2069,0.0778,0.0918,0.0978,0.0,0.1065,0.0867,0.2069,1.0,0.0,0,1,0.0,0.0,183071,0
2677,0.020713,-15164,-3815,17.0,1,1,2,3,10,0,0.60361318,0.537069958,0.0515,0.08,0.1667,0.2083,0.0801,0.042,0.0865,0.0,0.0,0.0525,0.083,0.9851,0.0135,0.1034,0.08199999999999999,0.0459,0.0901,0.0,0.08,0.0135,0.1034,0.0,0.0,-716,0,0.0,5.0,395320,0
2690,0.0038130000000000004,-14498,-4430,17.0,1,0,2,2,6,1,0.48242758799999996,0.567379237,0.1155,0.0963,0.3333,0.0417,0.0347,0.0925,0.1364,0.0077,0.0696,0.1176,0.1,0.9846,0.2576,0.1379,0.0355,0.10099999999999999,0.1421,0.0737,0.0963,0.2569,0.1379,4.0,0.0,-1441,0,0.0,3.0,119092,0
2703,0.020713,-19561,-3087,14.0,1,0,2,3,8,0,0.606361975,0.519097338,0.0897,0.1045,0.1667,0.2083,0.0648,0.0731,0.0816,0.0,0.0,0.0914,0.1085,0.9846,0.0172,0.2069,0.0662,0.0799,0.085,0.0,0.1045,0.0172,0.2069,3.0,0.0,-869,0,0.0,2.0,423601,0
2705,0.032561,-16463,-3,3.0,1,0,2,1,8,0,0.589620583,0.481249341,0.1443,0.0408,0.7917,0.8333,0.0326,0.1765,0.1394,0.2915,0.0075,0.1471,0.0423,0.998,0.0057,0.0345,0.0128,0.1286,0.1057,0.0,0.0408,0.0059,0.0345,0.0,0.0,-1590,0,0.0,0.0,214299,0
2719,0.028663,-16333,-4187,11.0,1,0,2,2,9,0,0.580069165,0.309275356,0.0082,0.0088,0.0417,0.0833,0.0163,0.0067,0.0085,0.0,0.0,0.0084,0.0091,0.9692,0.0012,0.0345,0.0167,0.0073,0.0089,0.0,0.0088,0.0012,0.0345,11.0,0.0,-1479,1,0.0,4.0,126908,0
2722,0.006629,-21281,-4802,18.0,0,0,1,2,10,0,0.561066869,0.7435593140000001,0.1376,0.1245,0.25,0.125,0.1254,0.1072,0.1556,0.0232,0.0271,0.0914,0.1112,0.9851,0.022000000000000002,0.1034,0.0736,0.079,0.0897,0.0014,0.1245,0.0474,0.1379,0.0,0.0,-2401,1,1.0,0.0,213552,0
2782,0.031329,-11920,-2645,46.0,1,1,3,2,11,1,0.23797224399999997,0.35069584299999995,0.0082,0.0,0.0417,0.0833,0.0066,0.0067,0.0103,0.0,0.0,0.0084,0.0,0.9682,0.0005,0.0345,0.0067,0.0073,0.0108,0.0,0.0,0.0005,0.0345,1.0,0.0,0,1,0.0,0.0,331513,0
2786,0.031329,-12335,-3411,13.0,1,0,4,2,14,0,0.615577012,0.725276435,0.1392,0.0,0.1667,0.2083,0.1024,0.1135,0.1447,0.0,0.0,0.1418,0.0,0.9876,0.0216,0.3103,0.1047,0.124,0.1508,0.0,0.0,0.0215,0.3103,3.0,0.0,-1071,1,0.0,1.0,411994,0
2790,0.018029,-8658,-1331,9.0,1,0,2,3,9,1,0.61632191,0.26928579999999996,0.0835,0.0629,0.3333,0.375,0.0155,0.0681,0.1037,0.0,0.0,0.0851,0.0653,0.9901,0.0685,0.1034,0.0159,0.0744,0.1081,0.0,0.0629,0.0683,0.1034,4.0,0.0,-888,1,0.0,4.0,445510,0
2796,0.028663,-14474,-4653,1.0,1,0,2,2,9,0,0.714752112,0.234015167,0.0588,0.0395,0.2083,0.0417,0.0072,0.0479,0.0403,0.0,0.0,0.0599,0.040999999999999995,0.9926,0.0301,0.069,0.0074,0.0523,0.042,0.0,0.0395,0.03,0.069,0.0,0.0,-1854,1,0.0,2.0,429492,1
2805,0.007273999999999999,-15642,-2808,23.0,1,0,1,2,11,0,0.24898722,0.6626377920000001,0.0722,0.0495,0.1667,0.0,0.0,0.0588,0.0353,0.0,0.0026,0.0735,0.0514,0.9762,0.0239,0.1379,0.0,0.0643,0.0368,0.0028,0.0495,0.0239,0.1379,0.0,0.0,-639,0,0.0,3.0,168641,0
2831,0.0105,-21221,-4702,6.0,0,0,2,3,17,0,0.729156378,0.5971924270000001,0.0732,0.0906,0.1667,0.2083,0.0782,0.0588,0.0822,0.0039,0.0153,0.0746,0.094,0.9821,0.0133,0.2069,0.0799,0.0643,0.0856,0.0162,0.0906,0.0133,0.2069,0.0,0.0,-988,1,0.0,0.0,151985,0
2833,0.072508,-13177,-2247,3.0,1,0,5,1,12,0,0.22750069899999997,0.280789574,0.0649,0.0,0.1667,0.2083,0.0437,0.0521,0.0488,0.0039,0.0051,0.0662,0.0,0.9757,0.0149,0.1379,0.0447,0.0569,0.0509,0.0054,0.0,0.0148,0.1379,0.0,0.0,-346,1,0.0,0.0,275000,0
2834,0.020713,-17935,-1478,11.0,1,0,2,3,9,0,0.031510462999999996,0.36561650700000003,0.0881,0.0751,0.3542,0.1042,0.0702,0.071,0.0852,0.0039,0.0166,0.0872,0.0477,0.9806,0.0183,0.0345,0.0584,0.0744,0.0857,0.0,0.0751,0.0666,0.1207,2.0,0.0,-903,1,1.0,1.0,190450,0
2866,0.010006000000000001,-13794,-617,5.0,1,1,3,2,18,0,0.547496767,0.832785025,0.0619,0.0715,0.25,0.0417,0.0723,0.0504,0.0776,0.0039,0.0,0.063,0.0667,0.9866,0.0357,0.0345,0.07400000000000001,0.0551,0.0693,0.0,0.0715,0.0356,0.0862,0.0,0.0,-296,0,0.0,1.0,438405,0
2887,0.01885,-20545,-4108,11.0,1,0,2,2,11,1,0.722257337,0.81609236,0.1031,0.0846,0.1667,0.0417,0.0631,0.0841,0.0881,0.0,0.0,0.105,0.0877,0.9841,0.0478,0.2069,0.0645,0.0918,0.0918,0.0,0.0846,0.0477,0.2069,9.0,0.0,0,0,0.0,0.0,397896,0
2890,0.010032,-17697,-1242,32.0,1,0,2,2,14,0,0.629557341,0.644679455,0.1753,0.094,0.375,0.4167,0.0,0.1429,0.187,0.0,0.0,0.1786,0.0975,0.9886,0.0632,0.1379,0.0,0.1561,0.1948,0.0,0.094,0.063,0.1379,0.0,0.0,-2014,1,0.0,0.0,304432,0
2891,0.035792000000000004,-13618,-4561,12.0,1,1,3,2,13,0,0.7344609540000001,0.819317692,0.0144,0.0,0.0417,0.0417,0.0239,0.0101,0.0069,0.0077,0.0269,0.0147,0.0,0.9727,0.0014,0.069,0.0244,0.011000000000000001,0.0072,0.0285,0.0,0.0014,0.069,0.0,0.0,-1476,1,1.0,1.0,210221,0
2898,0.010643000000000001,-15969,-4232,13.0,1,0,2,2,14,0,0.53578158,0.719490785,0.032,0.0147,0.0833,0.125,0.0672,0.0261,0.0305,0.0,0.0,0.0326,0.0153,0.9816,0.0052,0.1034,0.0688,0.0285,0.0318,0.0,0.0147,0.0051,0.1034,7.0,0.0,0,1,1.0,1.0,175551,0
2909,0.0071200000000000005,-15427,-4602,24.0,1,0,4,2,15,0,0.5387390470000001,0.782607837,0.0732,0.0,0.3333,0.375,0.0647,0.0588,0.0826,0.0039,0.0076,0.0746,0.0,0.9896,0.0144,0.069,0.0662,0.0643,0.0861,0.008,0.0,0.0143,0.069,3.0,0.0,-2456,1,0.0,4.0,198589,0
2930,0.028663,-13162,-4794,5.0,1,0,2,2,15,0,0.5695462379999999,0.6212263379999999,0.1495,0.0934,0.3333,0.375,0.0772,0.121,0.1551,0.0039,0.0006,0.1523,0.0969,0.9876,0.0317,0.1379,0.0789,0.1322,0.1616,0.0007,0.0934,0.0316,0.1379,0.0,0.0,-19,1,0.0,0.0,100570,0
2935,0.006852,-20004,-3383,28.0,1,0,2,3,12,0,0.59935697,0.222580765,0.1082,0.0415,0.3333,0.0,0.0877,0.0866,0.07200000000000001,0.0077,0.0328,0.1103,0.043,0.9866,0.1717,0.1034,0.0897,0.0946,0.075,0.0347,0.0415,0.1712,0.1034,2.0,1.0,-2542,0,0.0,5.0,405705,1
2941,0.007273999999999999,-11081,-3212,9.0,1,0,4,2,14,0,0.5369996770000001,0.6041126,0.0371,0.0591,0.125,0.1667,0.0565,0.0303,0.0409,0.0,0.0,0.0378,0.0613,0.9618,0.0,0.1034,0.0578,0.0331,0.0426,0.0,0.0591,0.0,0.1034,0.0,0.0,-727,0,0.0,4.0,132698,0
2956,0.009656999999999999,-12631,-3123,7.0,1,0,3,2,10,0,0.603822447,0.35069584299999995,0.2399,0.1597,0.3471,0.3333,0.1286,0.1956,0.2463,0.0,0.0,0.1964,0.1507,0.9871,0.0601,0.2414,0.1017,0.1717,0.2096,0.0,0.1667,0.0823,0.2414,1.0,0.0,-2410,1,0.0,1.0,184719,0
2981,0.010032,-10914,-266,17.0,1,0,4,2,10,0,0.211315957,0.1585549,0.0082,0.0,0.0417,0.0417,0.0,0.0067,0.0083,0.0,0.0,0.0084,0.0,0.9702,0.0015,0.0345,0.0,0.0073,0.0086,0.0,0.0,0.0015,0.0345,0.0,0.0,0,1,0.0,0.0,105753,0
3010,0.018801,-14608,-5092,7.0,1,0,3,2,16,0,0.457468594,0.438281374,0.0825,0.0791,0.1667,0.2083,0.0683,0.0672,0.0704,0.0,0.0,0.084,0.0821,0.9747,0.0442,0.1379,0.0698,0.0735,0.0734,0.0,0.0791,0.0441,0.1379,10.0,0.0,-878,1,0.0,1.0,429849,0
3029,0.031329,-8483,-1144,14.0,1,0,3,2,15,0,0.5794031820000001,0.20915469899999997,0.0907,0.0894,0.1667,0.2083,0.0576,0.0731,0.0744,0.0039,0.0358,0.0924,0.0928,0.9801,0.0139,0.2069,0.0589,0.0799,0.0775,0.0379,0.0894,0.0138,0.2069,0.0,0.0,-1509,1,2.0,4.0,240632,0
3048,0.019101,-22456,-4315,20.0,1,0,2,2,12,1,0.745778101,0.614414378,0.1543,0.0947,0.375,0.2292,0.0654,0.1236,0.1873,0.0154,0.057,0.0924,0.0071,0.9901,0.0469,0.1724,0.0281,0.0808,0.105,0.0107,0.1163,0.0468,0.1724,0.0,0.0,-2003,1,0.0,0.0,272190,0
3052,0.0228,-11637,-4109,11.0,1,1,5,2,11,0,0.515943411,0.44896227299999997,0.1443,0.1586,0.1667,0.2083,0.1234,0.1177,0.1624,0.0,0.0,0.1471,0.1646,0.9985,0.021,0.3103,0.1262,0.1286,0.1692,0.0,0.1586,0.0209,0.3103,3.0,0.0,-1274,1,0.0,0.0,218076,0
3066,0.009334,-15930,-4096,10.0,1,0,2,2,11,0,0.730058013,0.778904039,0.0619,0.0628,0.1667,0.0,0.0417,0.0504,0.0537,0.0,0.0,0.063,0.0652,0.9821,0.0088,0.1379,0.0427,0.0551,0.055999999999999994,0.0,0.0628,0.0088,0.1379,0.0,0.0,-1864,1,0.0,2.0,202249,0
3069,0.030755,-12458,-4339,64.0,1,0,1,2,17,0,0.429851751,0.309275356,0.0928,0.1012,0.1667,0.2083,0.0378,0.0756,0.0877,0.0,0.0,0.0945,0.105,0.9816,0.0424,0.2069,0.0386,0.0826,0.0914,0.0,0.1012,0.0423,0.2069,2.0,0.0,-386,0,0.0,1.0,244207,0
3088,0.030755,-19095,-2629,8.0,1,0,2,2,15,1,0.414235226,0.24054141699999998,0.0175,0.0123,0.0417,0.0833,0.0602,0.0143,0.0193,0.0,0.0,0.0179,0.0127,0.9662,0.0025,0.069,0.0615,0.0156,0.0201,0.0,0.0123,0.0025,0.069,0.0,0.0,-1382,1,0.0,1.0,155326,0
3097,0.031329,-17528,-1075,6.0,1,0,3,2,11,0,0.5674595370000001,0.372333666,0.0309,0.0306,0.1667,0.2083,0.0231,0.0244,0.03,0.0039,0.0014,0.0315,0.0318,0.9876,0.0046,0.069,0.0237,0.0266,0.0313,0.0015,0.0306,0.0046,0.069,0.0,0.0,0,1,1.0,1.0,247898,0
3107,0.035792000000000004,-15463,-3234,5.0,1,1,4,2,20,0,0.42849638,0.626304277,0.0052,0.0,0.0417,0.0417,0.0131,0.0042,0.0026,0.0,0.0,0.0053,0.0,0.9518,0.0003,0.0345,0.0134,0.0046,0.0027,0.0,0.0,0.0003,0.0345,0.0,0.0,-565,1,1.0,0.0,237333,0
3110,0.028663,-13295,-4088,4.0,1,0,4,2,12,0,0.442532014,0.328063161,0.0371,0.0,0.0833,0.125,0.0199,0.0303,0.0303,0.0,0.0,0.0378,0.0,0.9727,0.0032,0.1034,0.0203,0.0331,0.0315,0.0,0.0,0.0032,0.1034,0.0,0.0,0,1,0.0,1.0,208007,0
3123,0.018634,-18606,-2025,0.0,1,1,3,2,17,0,0.549034896,0.40835885299999997,0.0402,0.0387,0.1667,0.2083,0.0087,0.0328,0.0366,0.0,0.1447,0.040999999999999995,0.0402,0.9841,0.0569,0.1034,0.0089,0.0358,0.0382,0.1531,0.0387,0.0567,0.1034,0.0,0.0,-1747,1,0.0,2.0,329154,0
3132,0.072508,-22344,-4557,9.0,1,0,2,1,10,0,0.740170023,0.452533559,0.1326,0.075,0.45,0.4917,0.0,0.1078,0.1194,0.0015,0.0086,0.1502,0.0471,0.9772,0.0001,0.1379,0.0,0.0964,0.10400000000000001,0.0,0.0936,0.0056,0.1379,7.0,0.0,0,0,0.0,1.0,310161,0
3135,0.020713,-21628,-4847,2.0,1,0,2,3,11,0,0.521353515,0.37571101,0.0289,0.0,0.0417,0.0417,0.0355,0.0235,0.018000000000000002,0.0,0.0,0.0294,0.0,0.9831,0.0,0.1034,0.0363,0.0257,0.0187,0.0,0.0,0.0,0.1034,5.0,1.0,-1258,0,0.0,1.0,208931,0
3173,0.018801,-10432,-2798,16.0,1,0,2,2,10,0,0.285897872,0.698667555,0.4845,0.3225,0.375,0.4167,0.3526,0.3942,0.5547,0.0039,0.0057,0.4937,0.3347,0.9866,0.2393,0.4828,0.3606,0.4307,0.578,0.0061,0.3225,0.2386,0.4828,10.0,0.0,-1677,0,0.0,8.0,277960,0
3180,0.018634,-20082,-891,13.0,1,1,1,2,12,0,0.74722645,0.087304271,0.0722,0.0842,0.1667,0.2083,0.0442,0.0588,0.0676,0.0,0.0,0.0735,0.0874,0.9796,0.0,0.1379,0.0452,0.0643,0.0704,0.0,0.0842,0.0,0.1379,0.0,0.0,-1525,1,0.0,0.0,259485,0
3196,0.028663,-10300,-2983,8.0,1,0,2,2,17,0,0.518951993,0.262248971,0.0619,0.0578,0.1667,0.0417,0.0583,0.0504,0.0509,0.0,0.0,0.063,0.06,0.9791,0.0065,0.1034,0.0596,0.0551,0.0531,0.0,0.0578,0.0064,0.1034,3.0,0.0,-30,0,1.0,3.0,322953,0
3218,0.010006000000000001,-17232,-710,4.0,1,0,1,2,11,0,0.7371983959999999,0.610991328,0.1186,0.1443,0.1667,0.2083,0.1015,0.0958,0.1316,0.0039,0.022000000000000002,0.1208,0.1498,0.9935,0.0719,0.2759,0.1039,0.1047,0.1372,0.0233,0.1443,0.0717,0.2759,3.0,0.0,-223,1,0.0,0.0,254632,0
3219,0.019688999999999998,-22088,-2358,5.0,0,0,2,2,10,0,0.5866012310000001,0.7463002129999999,0.0619,0.0015,0.1667,0.2083,0.1038,0.0504,0.057,0.0,0.0,0.063,0.0016,0.9772,0.0096,0.1379,0.1061,0.0551,0.0594,0.0,0.0015,0.0095,0.1379,0.0,0.0,-1883,1,0.0,4.0,412924,0
3236,0.008865999999999999,-12736,-3329,1.0,1,0,2,2,8,0,0.7843207759999999,0.483050188,0.1031,0.0847,0.1667,0.2083,0.0847,0.0841,0.0905,0.0,0.0,0.105,0.0879,0.9782,0.0142,0.2069,0.0866,0.0918,0.0943,0.0,0.0847,0.0141,0.2069,6.0,0.0,-1305,1,0.0,1.0,334623,0
